Date,Method,Tickers
2020-10-23,VolumeWithMACD,"['8028', '6278', '6213']"
2020-10-26,VolumeWithMACD,"['3711', '2412', '4551', '2376', '6706', '3010']"
2020-10-27,VolumeWithMACD,"['2106', '4927', '9945', '2337', '2915']"
2020-10-28,VolumeWithMACD,"['1102', '8215', '3231', '3041', '2356', '6153', '2385']"
2020-10-29,VolumeWithMACD,"['1732', '1598', '6176']"
2020-10-30,VolumeWithMACD,"['1598', '6176', '1732']"
2020-10-30,TOWERWithMACD,['2891B']
2020-10-30,VolumeWithMACD,['2108']
2020-11-03,TOWERWithMACD,"['5871A', '1303', '00738U', '2910', '2880', '5880', '8114', '2613', '2239', '1326', '2497', '8039', '6415', '2884', '6670', '2834', '00701', '1786', '2207', '2456', '1402', '3536', '3530', '910861', '1512', '5876', '2634', '00640L', '2891', '3557', '00714', '3229', '2542', '5471', '2002', '2913', '2882', '4904', '2801', '1476', '0055', '5283', '1301', '00730', '8046', '1101', '4720', '2887E', '2832', '1102', '2912', '4938', '00657', '8341']"
2020-11-03,VolumeWithMACD,"['1604', '1101']"
2020-11-04,TOWERWithMACD,"['006203', '2340', '2342', '00770', '020018', '4545', '1527', '3013', '2105', '2449', '0054', '8404', '01001T', '00851', '00875', '2534', '5521', '00645', '00737', '00861', '00672L', '00876', '1717', '2612', '8101', '2464', '2013', '00717']"
2020-11-04,VolumeWithMACD,"['2882', '1604', '1717', '3189']"
2020-11-05,TOWERWithMACD,"['1217', '2481', '4952', '8105', '3043', '0061', '3518', '5484', '4915', '3209', '2101', '1733', '3494', '2415', '2323', '2904', '1809', '6282', '8271']"
2020-11-05,VolumeWithMACD,"['00650L', '4915', '5876', '1701', '2881', '2412', '2633', '1734']"
2020-11-06,TOWERWithMACD,"['2425', '3015', '6283', '1417', '3528', '2107', '4976', '2401', '4725', '8033']"
2020-11-06,VolumeWithMACD,"['1598', '5469', '4904', '00635U', '8213', '8163', '3376']"
2020-11-06,TOWERWithMACD,"['3030', '6533', '3338', '2450', '1583', '4725', '8464', '01009T', '3528', '1626', '3454', '4581', '2425', '2420']"
2020-11-06,TOWERWithMACD_EMA23,"['2450', '4725', '2425']"
2020-11-06,TOWERWithMACD_EMA67,"['6533', '4725', '3528', '2425']"
2020-11-06,TOWERWithMACD_EMA67_23,"['4725', '2425']"
2020-11-06,VolumeWithMACD,"['1301', '8499', '2456', '2478', '2633', '2375', '1303', '8163', '5469', '2106', '3026', '1604', '1326', '3090', '2474']"
2020-11-10,TOWERWithMACD,"['3004', '2316', '1104', '5905', '1565', '1736', '2546', '2547', '4999', '2739', '2601', '8076', '00681R', '2611', '1213', '2702', '1452', '1522', '1307', '2511', '2380', '3037', '2809', '9938', '2748', '2729', '2329', '2929', '2867', '2905', '2731', '2722', '1539', '2841', '4572', '5284', '1109', '1781']"
2020-11-10,TOWERWithMACD_EMA23,"['1736', '2547', '2739', '2511', '2809', '9938', '2748', '2729', '2329', '2722', '5284']"
2020-11-10,TOWERWithMACD_EMA67,"['1104', '2547', '2739', '2611', '2511', '2380', '2809', '9938', '2729', '2329', '1109']"
2020-11-10,TOWERWithMACD_EMA67_23,"['2547', '2511', '9938', '2329', '2809', '2729', '2739']"
2020-11-10,VolumeWithMACD,"['6261', '8150', '8076', '2239', '4528', '3611', '2101', '2633', '2723', '8043', '2542', '3303', '2892', '8046', '9910', '9802', '6505', '2882', '6278', '6285', '3388', '6284', '5425', '00653L', '2428', '2881', '1326', '4551', '8942', '00701', '2342', '4417', '3511', '3580', '1799', '6239', '2929', '6706', '2231', '2707', '3541', '1477', '2727', '4953', '3026', '1301', '4935', '3003', '2634']"
2020-11-11,TOWERWithMACD,"['1451', '2065', '2419', '2314', '6469', '8105', '1337', '2539', '2538', '2402', '8482', '6142', '6175', '2471', '2020', '8011', '3031', '2383', '9931', '01002T', '2023', '4747', '9902', '6449', '4576', '6146', '4114', '1805', '3147', '6592', '8028']"
2020-11-11,TOWERWithMACD_EMA23,"['1451', '6175', '2471', '2023']"
2020-11-11,TOWERWithMACD_EMA67,"['1337', '2402', '6175', '2471', '2020', '01002T', '2023', '6449', '1805']"
2020-11-11,TOWERWithMACD_EMA67_23,"['2023', '2471', '6175']"
2020-11-11,VolumeWithMACD,"['2342', '2105', '8213', '8255', '2723', '2002', '1304', '3388', '00701', '2317', '2881', '3209', '4168', '4977', '0050', '6451', '1229', '4205', '1303', '6505', '3044', '3265', '00721B', '6438', '6175', '3511', '1301', '6426', '6591', '3144', '6261', '2206', '8358', '2314', '1101', '4545', '2354', '2884', '8931', '2107', '3706', '6411', '2332', '2481', '3450', '1527', '1308', '1402', '6292', '4107', '1336', '1799', '6629', '1604', '3694', '5209', '1305', '3092', '6173', '6523', '6271', '2542', '1215', '8444', '2886', '4138', '2013']"
2020-11-11,VolumeWithMACD_EMA67_23,"['2342', '2105', '8255', '2723', '2002', '1304', '3388', '00701', '2317', '2881', '0050', '1229', '4205', '1303', '6505', '3044', '3265', '00721B', '6438', '6175', '1301', '3144', '2206', '8358', '4545', '2884', '8931', '2107', '3706', '6411', '2332', '2481', '3450', '1527', '1308', '1402', '1336', '6629', '1305', '3092', '6173', '6523', '6271', '1215', '8444', '2886', '4138', '2013']"
2020-11-11,VolumeWithMACD_EMA67_23_VOL5,"['2342', '2105', '8255', '2723', '2002', '1304', '3388', '00701', '2881', '1229', '4205', '1303', '6505', '3044', '3265', '6438', '6175', '1301', '3144', '2206', '8358', '4545', '2884', '2107', '3706', '2332', '2481', '3450', '1527', '1402', '1336', '6629', '1305', '3092', '6173', '6523', '1215', '8444', '2886', '4138', '2013']"
2020-11-11,VolumeWithMACD_EMA67_23_VOL5_67,"['2342', '6505', '6629', '3044', '3265', '2884', '2105', '8255', '6438', '2107', '2723', '2002', '3706', '1304', '3388', '6175', '2332', '00701', '2481', '2881', '1301', '1305', '6173', '3092', '3450', '3144', '6523', '1527', '1402', '1215', '8358', '8444', '2886', '1336', '1229', '4205', '4545', '1303']"
2020-11-11,VolumeWithMACD_EMA67_23_VOL67,"['2342', '2105', '8255', '2723', '2002', '1304', '3388', '00701', '2881', '1229', '4205', '1303', '6505', '3044', '3265', '6438', '6175', '1301', '3144', '8358', '4545', '2884', '8931', '2107', '3706', '6411', '2332', '2481', '3450', '1527', '1308', '1402', '1336', '6629', '1305', '3092', '6173', '6523', '1215', '8444', '2886']"
2020-11-12,TOWERWithMACD,"['2719', '3687', '2392', '4432', '4728', '4971', '3698', '6124', '3685', '3630', '1441', '3289', '9946']"
2020-11-12,TOWERWithMACD_EMA23,['3685']
2020-11-12,TOWERWithMACD_EMA67,"['1441', '9946']"
2020-11-12,TOWERWithMACD_EMA67_23,[]
2020-11-12,VolumeWithMACD,"['2467', '3666', '8038', '6188', '1795', '6271', '2314', '6451', '8103', '6426', '3630', '6261', '6169', '2726', '8410', '3530', '6245', '2352', '3017', '2313', '3484', '6667', '1216', '1201', '1587', '2428', '8358', '2066', '3413', '3083', '3338']"
2020-11-12,VolumeWithMACD_EMA67_23,"['2467', '3666', '8038', '1795', '6271', '6451', '2726', '2352', '3017', '2313', '3484', '6667', '1216', '1201', '2428', '8358', '3413']"
2020-11-12,VolumeWithMACD_EMA67_23_VOL5,"['3666', '8038', '1795', '6271', '6451', '2726', '2352', '3017', '2313', '6667', '1216', '1201', '2428', '8358']"
2020-11-12,VolumeWithMACD_EMA67_23_VOL5_67,"['2726', '8038', '2313', '6451', '2428', '1216', '3017', '6271', '8358', '3666', '1201', '6667', '1795', '2352']"
2020-11-12,VolumeWithMACD_EMA67_23_VOL67,"['2467', '3666', '8038', '1795', '6271', '6451', '2726', '2352', '3017', '2313', '3484', '6667', '1216', '1201', '2428', '8358', '3413']"
2020-11-13,TOWERWithMACD,"['5203', '4938', '5220', '5016', '00855B', '00656R', '5356', '00790B', '3325', '1454', '1777', '4123', '6220', '4414', '6535', '00638R', '00634R', '5305', '2243', '3594']"
2020-11-13,TOWERWithMACD_EMA23,"['4938', '5016', '5305']"
2020-11-13,TOWERWithMACD_EMA67,"['4938', '5016', '1454', '6220', '5305']"
2020-11-13,TOWERWithMACD_EMA67_23,"['5016', '5305', '4938']"
2020-11-13,VolumeWithMACD,"['006208', '6533', '3141', '2206', '3455', '2105', '5220', '8406', '3484', '1580', '1536', '5371', '2066', '3092', '2497', '3631', '2107', '4977', '6667', '3504', '1796', '8446', '2727', '1210', '2915', '1777', '4123', '2472', '5243', '4545']"
2020-11-13,VolumeWithMACD_EMA67_23,"['006208', '6533', '3141', '2206', '3455', '2105', '8406', '3484', '1580', '5371', '3092', '2497', '3631', '2107', '4977', '3504', '1796', '8446', '2727', '1210', '2915', '5243', '4545']"
2020-11-13,VolumeWithMACD_EMA67_23_VOL5,"['6533', '3455', '3484', '3092', '2497', '4977', '3504', '1796', '1210', '2915', '5243', '4545']"
2020-11-13,VolumeWithMACD_EMA67_23_VOL5_67,"['3455', '4977', '2497', '6533', '1796', '2915', '5243', '3504', '3092', '4545', '3484']"
2020-11-13,VolumeWithMACD_EMA67_23_VOL67,"['006208', '6533', '3141', '3455', '2105', '8406', '3484', '1580', '3092', '2497', '3631', '4977', '3504', '1796', '8446', '2727', '2915', '5243', '4545']"
2020-11-13,TOWERWithMACD,"['5220', '5356', '00634R', '00638R', '6220', '00790B', '3325', '4414', '00855B', '1454', '5016', '1777', '4938', '5305', '4123', '3594', '6535', '00656R', '5203', '2243']"
2020-11-13,TOWERWithMACD_EMA23,"['5016', '4938', '5305']"
2020-11-13,TOWERWithMACD_EMA67,"['6220', '1454', '5016', '4938', '5305']"
2020-11-13,TOWERWithMACD_EMA67_23,"['4938', '5016', '5305']"
2020-11-13,VolumeWithMACD,"['2726', '9938', '2104', '2723', '3289', '2915', '2881', '6188', '8171', '8406', '3611', '4551', '3178', '8938', '6294', '2752', '6667', '8446', '2467', '6150', '2727', '6239', '3092', '3388', '3083', '2732', '1102', '1736', '2428', '1210', '2101', '1326', '4123', '6505', '8433', '3141', '6469', '2640', '1229', '2065', '6284', '6261', '9904', '2542', '8046', '6203', '2342', '6279']"
2020-11-13,VolumeWithMACD_EMA67_23,"['2723', '2915', '2881', '6188', '8171', '8406', '4551', '8938', '8446', '2467', '6150', '2727', '3092', '3388', '1102', '1736', '2428', '1210', '1326', '6505', '3141', '1229', '6284', '9904', '6203', '2342', '6279']"
2020-11-13,VolumeWithMACD_EMA67_23_VOL5,"['2915', '3092', '1210']"
2020-11-13,VolumeWithMACD_EMA67_23_VOL5_67,"['2915', '3092']"
2020-11-13,VolumeWithMACD_EMA67_23_VOL67,"['2723', '2915', '8406', '8446', '2467', '6150', '2727', '3092', '3388', '1736', '2428', '6505', '3141', '6284', '9904', '6279']"
2020-11-17,TOWERWithMACD,"['2331', '6290', '2374', '2377', '3152', '6547', '3321', '1815', '4543', '4557', '2734', '8426', '6426', '4976', '4128', '6527', '6432', '3363', '6625', '3164', '1608', '5009', '6288', '2368', '8436', '3176', '6612', '3520', '2704', '2431', '2838A', '6198', '2009', '2006', '2367', '1529']"
2020-11-17,TOWERWithMACD_EMA23,"['2331', '2374', '3152', '2734', '6426', '4976', '2431', '6198', '2009', '2006']"
2020-11-17,TOWERWithMACD_EMA67,"['2331', '2374', '3152', '2734', '4976', '1608', '6288', '2431', '2009', '2006']"
2020-11-17,TOWERWithMACD_EMA67_23,"['2431', '4976', '2006', '3152', '2009', '2331', '2734', '2374']"
2020-11-17,VolumeWithMACD,"['6508', '4979', '3363', '2425', '6588', '6290', '6175', '6124', '3479', '1569', '5312', '4142', '5439', '8046', '6426', '8931', '2448', '5483', '2392', '3698', '3092', '5220', '8934', '6469', '6451', '5289', '2441', '6612', '00758B', '2377', '3622', '3437']"
2020-11-17,VolumeWithMACD_EMA67_23,"['2425', '6175', '1569', '5439', '8046', '8931', '2392', '3092', '8934', '6451', '3622', '3437']"
2020-11-17,VolumeWithMACD_EMA67_23_VOL5,"['6175', '1569', '5439', '8046', '2392', '8934', '6451', '3622', '3437']"
2020-11-17,VolumeWithMACD_EMA67_23_VOL5_67,"['3437', '2392', '6175', '8934', '6451', '1569', '3622', '5439']"
2020-11-17,VolumeWithMACD_EMA67_23_VOL67,"['2425', '6175', '1569', '5439', '8931', '2392', '3092', '8934', '6451', '3622', '3437']"
2020-11-18,TOWERWithMACD,"['2038', '3221', '4174', '6179', '4803', '4171', '4130', '8054', '3550', '3059', '3323', '3491', '3114', '1525', '2613', '4147', '6229', '4162', '1312', '4438', '2881B', '2033', '3494', '2355', '6569', '2425', '4714', '4192', '6416', '2349', '1784', '6446', '6462', '6180', '6140', '2606', '3118', '6556', '2439', '6251', '6461', '6598', '6209', '00787B', '4755', '5464', '8093']"
2020-11-18,TOWERWithMACD_EMA23,"['2038', '3114', '1525', '2613', '1312', '2033', '2425', '2349', '2606', '4755', '5464']"
2020-11-18,TOWERWithMACD_EMA67,"['2038', '3059', '3323', '1525', '2613', '6229', '1312', '2033', '2355', '2425', '2349', '2606', '4755', '5464']"
2020-11-18,TOWERWithMACD_EMA67_23,"['1525', '2033', '1312', '2425', '2038', '2613', '4755', '5464', '2606', '2349']"
2020-11-18,VolumeWithMACD,"['4114', '3622', '2439', '2497', '6292', '1777', '3221', '5278', '4147', '4972', '0050', '6229', '1597', '2754', '8088', '3455', '6462', '4130', '6213', '6508', '3557', '6209', '9933', '00787B', '6104', '6180', '6516', '3546', '3666', '2425', '2606', '5230', '3491', '4961', '5386', '6426', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '4721', '3609', '6276', '2436']"
2020-11-18,VolumeWithMACD_EMA67_23,"['3622', '2497', '6292', '5278', '0050', '8088', '3455', '6213', '3557', '9933', '6104', '3666', '2425', '2606', '5230', '4961', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '3609', '6276', '2436']"
2020-11-18,VolumeWithMACD_EMA67_23_VOL5,"['3622', '6292', '5278', '0050', '8088', '6213', '3557', '6104', '2425', '2606', '5230', '4961', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '3609', '6276']"
2020-11-18,VolumeWithMACD_EMA67_23_VOL5_67,"['6213', '2723', '2732', '6276', '5278', '3557', '2206', '5230', '8088', '3356', '3622', '2425', '4946', '0050', '2328', '2727', '2606']"
2020-11-18,VolumeWithMACD_EMA67_23_VOL67,"['3622', '2497', '5278', '0050', '8088', '6213', '3557', '3666', '2425', '2606', '5230', '2206', '3356', '2328', '2727', '2723', '2732', '4946', '6276']"
2020-11-19,TOWERWithMACD,"['3481', '3653', '4142', '8928', '5355', '00669R', '5285', '9105', '911608', '2417', '6690', '1752', '00674R', '912000', '9110', '6188', '3205', '3060', '4133', '8478', '5474', '6126', '3533', '4141', '1526', '6283', '3078', '6649', '4726', '2457', '6492', '912398', '4510', '3669', '5302', '1519', '6154', '3041', '1539', '911622', '5258', '6443', '00648R']"
2020-11-19,TOWERWithMACD_EMA23,"['5285', '00674R', '6188', '3078', '2457', '3041']"
2020-11-19,TOWERWithMACD_EMA67,"['5285', '00674R', '6188', '8478', '1526', '6283', '3078', '2457', '6492', '4510', '1519', '3041', '6443']"
2020-11-19,TOWERWithMACD_EMA67_23,"['00674R', '6188', '5285', '2457', '3078', '3041']"
2020-11-19,VolumeWithMACD,"['4129', '4142', '4927', '5220', '2328', '3594', '3679', '2377', '00793B', '6150', '4991', '6180', '3704', '3380', '8437', '3010', '3455', '3205', '2376', '3441', '6462', '2338', '3259', '3437', '6612', '8931', '1796', '3363', '6576', '4139', '00788B', '8027', '6229', '5386', '3557', '1589', '3537', '4961', '1777']"
2020-11-19,VolumeWithMACD_EMA67_23,"['4129', '2328', '3679', '6150', '3380', '8437', '3010', '3455', '6462', '2338', '3259', '3437', '8931', '8027', '5386', '3557', '4961']"
2020-11-19,VolumeWithMACD_EMA67_23_VOL5,"['4129', '2328', '3679', '3380', '3010', '3455', '6462', '8931', '8027', '5386', '3557', '4961']"
2020-11-19,VolumeWithMACD_EMA67_23_VOL5_67,"['3455', '6462', '4129', '5386', '8931', '3380', '4961', '2328', '3557', '3010', '8027', '3679']"
2020-11-19,VolumeWithMACD_EMA67_23_VOL67,"['4129', '2328', '3679', '6150', '3380', '3010', '3455', '6462', '2338', '3259', '8931', '8027', '5386', '3557', '4961']"
2020-11-20,TOWERWithMACD,"['6418', '3588', '2007', '6594', '6197', '4533', '6118', '4161', '6570', '8072', '3522', '3532', '6233', '6237', '3236', '2024', '3293', '3094', '2402', '4609', '6538', '6243', '2478', '5701', '4919', '2363', '4760', '5344', '8489', '3006', '4967', '4712', '3682', '6111', '3687', '6171']"
2020-11-20,TOWERWithMACD_EMA23,"['3588', '3522', '3532', '6233', '2024', '2478', '4760', '3006']"
2020-11-20,TOWERWithMACD_EMA67,"['3588', '2007', '3532', '6233', '6237', '3236', '2024', '3094', '2402', '2478', '4760', '3006', '3682']"
2020-11-20,TOWERWithMACD_EMA67_23,"['6233', '2478', '4760', '2024', '3588', '3532', '3006']"
2020-11-20,VolumeWithMACD,"['3014', '4972', '5289', '00751B', '3088', '6485', '3546', '6231', '3363', '8424', '2484', '00720B', '3588', '3666', '3479', '3530', '2451', '3221', '6220', '3622', '3491', '6552', '2376', '6180', '4728', '5386', '4919', '2105', '4979', '3455', '6568', '3594', '6469', '4938', '2498', '4933', '6155', '3259', '5490', '8069', '2337', '00786B', '00772B', '3707', '00754B', '3527', '3704', '3687', '4161']"
2020-11-20,VolumeWithMACD_EMA67_23,"['3014', '4972', '5289', '00751B', '6485', '3546', '3363', '00720B', '3588', '3666', '3479', '3530', '2451', '6220', '6552', '6180', '5386', '2105', '4979', '3455', '3594', '4938', '2498', '4933', '6155', '3259', '8069', '2337', '3707', '3704']"
2020-11-20,VolumeWithMACD_EMA67_23_VOL5,"['3014', '6485', '3546', '3363', '3588', '3666', '3530', '2451', '6220', '6552', '6180', '5386', '2105', '3455', '3594', '2498', '4933', '6155', '3259', '8069', '3707', '3704']"
2020-11-20,VolumeWithMACD_EMA67_23_VOL5_67,"['6155', '2105', '3259', '8069', '3455', '3594', '3588', '3666', '3530', '6485', '2451', '3546', '3707', '6552', '6180', '3363', '5386', '2498', '4933']"
