Date,Method,Tickers
2020-12-02,VolumeWithMACD,"['4152', '3285', '6182', '8028', '8044', '3303', '6535', '3666', '8070', '2353', '4163', '6221', '2823', '2392', '6023', '00636', '6186', '2439', '2102', '2027', '5469', '8255', '2314', '6616', '8424', '6494', '6278', '6158', '5457', '4953', '2065', '3564', '00655L', '3511', '5383', '3089', '00637L', '3545', '2371', '8415', '3206', '2337', '8240', '5471', '00791B', '3704', '6613', '6176', '3673', '6548', '00868B', '4763', '1752', '8049', '3522', '1599', '3289', '5392', '1519', '5483', '3015', '3228', '00849B', '5351', '1586', '9103', '8068', '3042', '00747B', '3226', '00741B', '6126', '3512', '3484', '6271', '4162', '6456', '8390', '5522', '6269', '3581', '4958', '6446', '4561', '1456', '4171', '6263', '00719B', '3025', '3078', '3144', '1784', '6292', '2332', '00633L', '2596', '4540', '6275', '4116', '2206', '6589', '3689', '3217', '4950', '5704', '3294', '1597', '4550', '4967', '3587']"
2020-12-02,VolumeWithMACD_EMA67_23,"['8028', '3666', '00636', '6186', '2102', '6616', '8424', '6494', '6278', '4953', '3089', '2371', '3206', '2337', '8240', '5471', '3704', '6548', '3522', '5483', '3228', '3226', '6126', '3512', '5522', '3581', '4561', '1456', '6263', '6292', '2332', '2596', '4540', '6275', '4116', '2206', '5704', '3294', '4550', '4967']"
2020-12-02,VolumeWithMACD_EMA67_23_VOL5,"['8028', '3666', '00636', '6186', '2102', '6616', '8424', '6494', '6278', '4953', '3089', '2371', '3206', '2337', '8240', '5471', '3704', '6548', '3522', '5483', '3228', '3226', '6126', '3512', '5522', '3581', '4561', '1456', '6263', '6292', '2332', '2596', '4540', '6275', '4116', '2206', '5704', '3294', '4550', '4967']"
2020-12-02,VolumeWithMACD_EMA67_23_VOL5_67,"['8240', '3581', '5471', '4540', '3294', '2102', '3522', '6126', '3704', '6263', '4953', '2371', '6275', '4561', '1456', '6548', '3512', '3206', '4116', '4550', '3666', '6292', '00636', '2596', '8028', '5483', '6616', '8424', '3226', '6186', '2332', '6494', '5522', '2337', '6278', '2206', '5704', '4967', '3228', '3089']"
2020-12-02,VolumeWithMACD_EMA67_23_VOL67,"['8028', '3666', '00636', '6186', '2102', '6616', '8424', '6494', '6278', '4953', '3089', '2371', '3206', '2337', '8240', '5471', '3704', '6548', '3522', '5483', '3228', '3226', '6126', '3512', '5522', '3581', '4561', '1456', '6263', '6292', '2332', '2596', '4540', '6275', '4116', '2206', '5704', '3294', '4550', '4967']"
2020-12-03,DayTrade_by_Queen,"['3294', '3313', '3581', '6182', '8277']"
2020-12-03,TOWERWithMACD,"['6416', '1591', '2331', '3163', '4702']"
2020-12-03,TOWERWithMACD_EMA23,"['1591', '2331', '4702']"
2020-12-03,TOWERWithMACD_EMA67,"['1591', '2331', '4702']"
2020-12-03,TOWERWithMACD_EMA67_23,"['2331', '1591', '4702']"
2020-12-03,VolumeWithMACD,"['8403', '1784', '6023', '3226', '5471', '1560', '6126', '2464', '4102', '6461', '8240', '5457', '8163', '8028', '6269', '2392', '3689', '3294', '6494', '8415', '2344', '6158', '6446', '4973', '6140', '5371', '5508', '5483', '3078', '2102', '2337', '6263', '6143', '1586', '00838B', '4760', '4116', '8931', '6616', '3704', '1614', '2332', '6589', '4958', '8049', '3450', '00791B', '3564', '5522', '3260', '4945', '3581', '3303', '4967', '6239', '4561', '2408', '3285', '5289', '3511', '2353', '8215', '6182', '6292', '2027', '8390', '4953', '6278', '3673', '6191', '00741B', '3206', '3289', '2371', '8044', '2439', '8271', '3144', '8088']"
2020-12-03,VolumeWithMACD_EMA67_23,"['1560', '6126', '2464', '8163', '2392', '3689', '3294', '6494', '8415', '5371', '5508', '5483', '3078', '2102', '6143', '8931', '3704', '1614', '3450', '5522', '3581', '6182', '6292', '2027', '4953', '6191', '2371', '8088']"
2020-12-03,VolumeWithMACD_EMA67_23_VOL5,"['1560', '6126', '2464', '8163', '2392', '3689', '3294', '6494', '8415', '5371', '5508', '5483', '3078', '2102', '6143', '8931', '3704', '1614', '3450', '5522', '3581', '6182', '6292', '2027', '4953', '6191', '2371', '8088']"
2020-12-03,VolumeWithMACD_EMA67_23_VOL5_67,"['1614', '8415', '2027', '4953', '5522', '8931', '6191', '6143', '2392', '6182', '3450', '3689', '3078', '2102', '6292', '5371', '8163', '5508', '1560', '2371', '3294', '3581', '6126', '3704', '2464', '8088', '6494', '5483']"
2020-12-03,VolumeWithMACD_EMA67_23_VOL67,"['1560', '6126', '2464', '8163', '2392', '3689', '3294', '6494', '8415', '5371', '5508', '5483', '3078', '2102', '6143', '8931', '3704', '1614', '3450', '5522', '3581', '6182', '6292', '2027', '4953', '6191', '2371', '8088']"
2020-12-04,DayTrade_by_Queen,"['2352', '2489', '3059', '3297', '6168', '8097']"
2020-12-04,TOWERWithMACD,"['3178', '3043', '1410', '2908', '3059', '00850', '4506', '2601', '1341', '3272', '3675', '5516', '8047', '2429', '3171']"
2020-12-04,TOWERWithMACD_EMA23,"['3178', '3059', '00850', '2601', '1341', '3675', '2429']"
2020-12-04,TOWERWithMACD_EMA67,"['2908', '3059', '00850', '1341', '3675', '8047', '2429']"
2020-12-04,TOWERWithMACD_EMA67_23,"['3059', '00850', '2429', '3675', '1341']"
2020-12-04,VolumeWithMACD,"['8240', '3178', '3303', '8088', '4961', '2027', '3704', '4919', '3583', '3260', '8163', '6126', '8403', '2448', '1514', '2356', '8234', '4760', '6472', '8150', '5264', '8091', '8476', '2474', '2451', '3508', '2353', '5220', '3673', '6589', '8215', '4971', '5356', '3294', '4561', '2464', '6023', '6446', '2344', '5371', '5483', '6182', '4107', '3059', '6278', '3698', '8931', '6499', '2332', '3581', '2371', '8044', '2408', '2419', '3450', '8390', '2301', '6294', '2337', '2102', '8028', '3570', '2436', '6591', '6191', '3144', '4953', '8415', '2352', '6239', '4116', '5289', '5508', '6494', '6195', '6143', '5471', '1614', '6486', '1526', '4967', '3078']"
2020-12-04,VolumeWithMACD_EMA67_23,"['8240', '4961', '2027', '4919', '3583', '8163', '2448', '2356', '4760', '8150', '5264', '2474', '2451', '3508', '8215', '5356', '2464', '2344', '5371', '5483', '6182', '4107', '3059', '6278', '3698', '8931', '2332', '2408', '2419', '3450', '6294', '2337', '8028', '2436', '6191', '8415', '2352', '6239', '4116', '5289', '5508', '6494', '6195', '6143', '1526', '4967']"
2020-12-04,VolumeWithMACD_EMA67_23_VOL5,"['8240', '4961', '2027', '4919', '3583', '8163', '2448', '2356', '4760', '8150', '5264', '2474', '2451', '3508', '8215', '5356', '2464', '2344', '5371', '5483', '6182', '4107', '3059', '6278', '3698', '8931', '2332', '2408', '2419', '3450', '6294', '2337', '8028', '2436', '6191', '8415', '2352', '6239', '4116', '5289', '5508', '6494', '6195', '6143', '1526', '4967']"
2020-12-04,VolumeWithMACD_EMA67_23_VOL5_67,"['4919', '3059', '8028', '3583', '8240', '2474', '3450', '8415', '8150', '8215', '5264', '2352', '6239', '8163', '2332', '2436', '4760', '6143', '6294', '2464', '2451', '3508', '2337', '2448', '4116', '5289', '4107', '5356', '6278', '1526', '2344', '6191', '4961', '5371', '5483', '3698', '2408', '4967', '5508', '2027', '2419', '6182', '2356', '6195', '6494', '8931']"
2020-12-04,VolumeWithMACD_EMA67_23_VOL67,"['8240', '4961', '2027', '4919', '3583', '8163', '2448', '2356', '4760', '8150', '5264', '2474', '2451', '3508', '8215', '5356', '2464', '2344', '5371', '5483', '6182', '4107', '3059', '6278', '3698', '8931', '2332', '2408', '2419', '3450', '6294', '2337', '8028', '2436', '6191', '8415', '2352', '6239', '4116', '5289', '5508', '6494', '6195', '6143', '1526', '4967']"
2020-12-07,DayTradeByRay,"['8085', '8111', '2312', '2401', '2409', '3122', '6116', '2610', '6016', '00632R', '6129', '6127', '1605', '2603', '5351', '3508', '2344', '6015', '6275', '8096', '5426', '3710', '1815', '5864', '2883', '6219', '5498', '1336', '2888', '3481', '6191', '8054', '6126', '2363', '2352']"
2020-12-07,DayTrade_by_Queen,"['2312', '4956', '6226', '8240']"
2020-12-07,TOWERWithMACD,"['2317', '1215', '2354', '6578', '3032', '6021', '3268', '4430', '4911', '8072', '6680', '6409']"
2020-12-07,TOWERWithMACD_EMA23,"['2317', '2354', '6578', '6021']"
2020-12-07,TOWERWithMACD_EMA67,"['2317', '2354', '6021', '3268']"
2020-12-07,TOWERWithMACD_EMA67_23,"['2354', '2317', '6021']"
2020-12-07,VolumeWithMACD,"['3260', '6294', '6446', '2344', '5508', '2393', '3303', '4956', '5264', '6191', '8403', '3581', '6472', '2436', '3646', '8163', '3583', '3373', '6023', '3673', '6195', '2448', '2332', '2451', '3059', '6239', '4967', '8091', '2408', '3698', '2474', '4919', '4961', '2439', '4561', '6499', '4760', '8150', '6494', '8044', '4167', '1591', '4116', '4971', '4107', '2027', '5371', '2419', '2303', '8155', '6716', '3558', '6182', '1536', '2363', '2352', '8234', '3272', '3711', '1560', '3508', '6143', '2337', '3178', '6486', '3564', '8415', '8240', '6114', '2356', '8215']"
2020-12-07,VolumeWithMACD_EMA67_23,"['2344', '4956', '6472', '8163', '2332', '3059', '8091', '4919', '4961', '2439', '4760', '6494', '4971', '2419', '2303', '2363', '3508', '3564', '8240', '2356']"
2020-12-07,VolumeWithMACD_EMA67_23_VOL5,"['2344', '4956', '6472', '8163', '2332', '3059', '8091', '4919', '4961', '2439', '4760', '6494', '4971', '2419', '2303', '2363', '3508', '3564', '8240', '2356']"
2020-12-07,VolumeWithMACD_EMA67_23_VOL5_67,"['3508', '2303', '2332', '4919', '4961', '8240', '3059', '4971', '2344', '2439', '8091', '2356', '8163', '2419', '2363', '4760', '3564', '4956', '6472', '6494']"
2020-12-07,VolumeWithMACD_EMA67_23_VOL67,"['2344', '4956', '6472', '8163', '2332', '3059', '8091', '4919', '4961', '2439', '4760', '6494', '4971', '2419', '2303', '2363', '3508', '3564', '8240', '2356']"
2020-12-08,DayTradeByRay,"['2312', '2610', '3522', '2641', '2323', '3508', '4939', '6016', '2609', '2363', '6219', '2603', '6229', '5351', '6114', '1815', '6156', '6175', '2515', '6129', '6207', '3122', '2409', '8064', '2344', '3481', '5603']"
2020-12-08,DayTrade_by_Queen,"['3527', '5202', '6114', '6235', '8234']"
2020-12-08,TOWERWithMACD,"['3529', '3536', '3611', '6418', '3498', '8432', '6217', '1512', '2230']"
2020-12-08,TOWERWithMACD_EMA23,['3529']
2020-12-08,TOWERWithMACD_EMA67,"['3529', '3611', '6217']"
2020-12-08,TOWERWithMACD_EMA67_23,['3529']
2020-12-08,VolumeWithMACD,"['1742', '00631L', '6275', '3558', '2303', '1536', '00738U', '6191', '2356', '4919', '4915', '6156', '3508', '2448', '6412', '3005', '8011', '2332', '2385', '2419', '8163', '5403', '1560', '4167', '8240', '8234', '6143', '3527', '5011', '2344', '6578', '6182', '8155', '3272', '3693', '6023', '3583', '00692', '0050', '2363', '6150', '4971', '2354', '8091', '4961', '2382', '6716', '0056', '4956', '4760', '8027', '8403', '3646', '3698', '8215', '6114', '3059', '8415', '3706', '3581', '3373', '6494', '5351', '2439', '3122', '8150']"
2020-12-08,VolumeWithMACD_EMA67_23,"['00631L', '6275', '2303', '00738U', '6191', '2356', '6156', '2448', '6412', '8011', '2332', '2385', '2419', '1560', '8240', '8234', '6143', '3527', '5011', '2344', '6578', '6182', '8155', '3272', '3583', '00692', '0050', '2363', '6150', '4961', '0056', '4760', '8027', '3646', '3698', '8215', '6114', '3059', '3581', '5351', '3122']"
2020-12-08,VolumeWithMACD_EMA67_23_VOL5,"['00631L', '6275', '2303', '00738U', '6191', '2356', '6156', '2448', '6412', '8011', '2332', '2385', '2419', '1560', '8240', '8234', '6143', '3527', '5011', '2344', '6578', '6182', '8155', '3272', '3583', '00692', '0050', '2363', '6150', '4961', '0056', '4760', '8027', '3646', '3698', '8215', '6114', '3059', '3581', '5351', '3122']"
2020-12-08,VolumeWithMACD_EMA67_23_VOL5_67,"['6275', '8215', '6191', '2448', '3583', '6114', '4760', '8240', '3527', '3059', '6412', '8027', '5011', '00692', '8155', '3581', '8011', '3272', '2356', '1560', '2344', '0050', '2332', '2303', '6156', '3646', '6578', '2363', '8234', '2385', '5351', '4961', '6143', '0056', '3698', '3122', '00738U', '2419', '00631L', '6182', '6150']"
2020-12-08,VolumeWithMACD_EMA67_23_VOL67,"['00631L', '6275', '2303', '00738U', '6191', '2356', '6156', '2448', '6412', '8011', '2332', '2385', '2419', '1560', '8240', '8234', '6143', '3527', '5011', '2344', '6578', '6182', '8155', '3272', '3583', '00692', '0050', '2363', '6150', '4961', '0056', '4760', '8027', '3646', '3698', '8215', '6114', '3059', '3581', '5351', '3122']"
2020-12-09,DayTradeByRay,"['8234', '6129', '2344', '2609', '2353', '6016', '8043', '2409', '8054', '2641', '2605', '6156', '3071', '2312', '3481', '6116', '2323', '6275', '2603', '3122', '3508', '5498', '6015', '6127']"
2020-12-09,DayTrade_by_Queen,"['2492', '3152', '3707', '5011', '6716']"
2020-12-09,TOWERWithMACD,"['3576', '6246', '3605', '1582', '3376', '1730', '3548', '6208', '6125', '8442', '2239', '2450', '1507', '2636', '1516', '2459', '6202', '3324', '8342']"
2020-12-09,TOWERWithMACD_EMA23,"['3576', '3376', '3548', '6208', '2239', '2450', '1516', '2459', '6202']"
2020-12-09,TOWERWithMACD_EMA67,"['3576', '1582', '3376', '3548', '6208', '6125', '2239', '2450', '2636', '1516', '2459', '6202']"
2020-12-09,TOWERWithMACD_EMA67_23,"['6208', '2459', '2450', '3576', '2239', '6202', '1516', '3548', '3376']"
2020-12-09,VolumeWithMACD,"['00850', '3646', '8011', '2354', '6023', '3580', '6716', '8928', '4568', '8215', '00631L', '4961', '8234', '5347', '8027', '3006', '2439', '2332', '6578', '8155', '6112', '3231', '8240', '6191', '3059', '2360', '2324', '6156', '2382', '2455', '00708L', '3698', '2385', '4938', '3437', '4167', '6405', '3706', '1536', '3211', '3508', '5011', '8403', '4760', '6275', '0050', '3527', '4919', '6494', '6150', '6182', '00738U', '3707', '8150', '4728', '5403', '00692', '2356', '2235', '6525', '6114', '2448', '6217', '2317', '2344', '6640', '0056', '5285']"
2020-12-09,VolumeWithMACD_EMA67_23,"['00850', '8011', '6716', '8215', '00631L', '8027', '3006', '8155', '6191', '3059', '2360', '2324', '6156', '2455', '3698', '2385', '4938', '3437', '6405', '5011', '4760', '6275', '0050', '3527', '4919', '6182', '3707', '8150', '00692', '2356', '2235', '2448', '2317', '2344', '6640', '0056', '5285']"
2020-12-09,VolumeWithMACD_EMA67_23_VOL5,"['00850', '8011', '6716', '8215', '00631L', '8027', '3006', '8155', '6191', '3059', '2360', '2324', '6156', '2455', '3698', '2385', '4938', '3437', '6405', '5011', '4760', '6275', '0050', '3527', '4919', '6182', '3707', '8150', '00692', '2356', '2235', '2448', '2317', '2344', '6640', '0056', '5285']"
2020-12-09,VolumeWithMACD_EMA67_23_VOL5_67,"['00850', '2360', '2324', '3698', '5011', '6182', '2385', '8215', '6716', '6405', '2317', '2344', '8027', '3527', '3707', '8155', '00692', '8150', '6156', '8011', '4938', '6640', '2356', '3437', '4760', '2235', '3006', '6275', '2455', '0056', '0050', '2448', '5285', '6191', '00631L', '4919', '3059']"
2020-12-09,VolumeWithMACD_EMA67_23_VOL67,"['00850', '8011', '6716', '8215', '00631L', '8027', '3006', '8155', '6191', '3059', '2360', '2324', '6156', '2455', '3698', '2385', '4938', '3437', '6405', '5011', '4760', '6275', '0050', '3527', '4919', '6182', '3707', '8150', '00692', '2356', '2235', '2448', '2317', '2344', '6640', '0056', '5285']"
2020-12-10,DayTradeByRay,"['6125', '6127', '8054', '2371', '8111', '3122', '5498', '2014', '8096', '5351', '5014', '5009', '2344', '2609', '2409', '6156', '3615', '6207', '4157', '5315', '6116', '3481', '6509']"
2020-12-10,DayTrade_by_Queen,[]
2020-12-10,TOWERWithMACD,"['1467', '2008', '1709', '8403', '5306', '1444', '8932', '9914', '4109', '9949', '6438', '2705', '1592', '3444', '8114', '1210', '1515']"
2020-12-10,TOWERWithMACD_EMA23,"['1709', '1444', '6438', '3444', '1210']"
2020-12-10,TOWERWithMACD_EMA67,"['2008', '1709', '1444', '4109', '6438', '2705', '1210']"
2020-12-10,TOWERWithMACD_EMA67_23,"['1210', '1444', '6438', '1709']"
2020-12-10,VolumeWithMACD,"['3285', '8155', '8027', '1513', '4944', '3707', '6642', '5202', '2324', '6224', '8403', '4938', '1909', '2472', '6578', '2455', '8432', '6207', '4102', '2338', '3025', '2643', '2360', '6276', '8171', '6175', '5011', '6156', '6640', '8099', '2603', '4728', '6703', '4961', '6654', '3059']"
2020-12-10,VolumeWithMACD_EMA67_23,"['3285', '3707', '5202', '6224', '6578', '2455', '2338', '3025', '2643', '2360', '6276', '8171', '5011', '2603', '4728', '4961', '6654']"
2020-12-10,VolumeWithMACD_EMA67_23_VOL5,"['3285', '3707', '5202', '6224', '6578', '2455', '2338', '3025', '2643', '2360', '6276', '8171', '5011', '2603', '4728', '4961', '6654']"
2020-12-10,VolumeWithMACD_EMA67_23_VOL5_67,"['2360', '6276', '8171', '3025', '4728', '5011', '2643', '2338', '4961', '6654', '2603', '3285', '3707', '2455', '6578', '5202', '6224']"
2020-12-10,VolumeWithMACD_EMA67_23_VOL67,"['3285', '3707', '5202', '6224', '6578', '2455', '2338', '3025', '2643', '2360', '6276', '8171', '5011', '2603', '4728', '4961', '6654']"
2020-12-11,DayTradeByRay,"['3325', '6220', '8054', '6129', '2409', '1444', '6127', '5452', '3122', '3114', '1815', '3615', '2344', '2371', '2014', '3481', '3508', '8111', '2609', '8121', '6116', '5014', '6126', '5351', '3071']"
2020-12-11,DayTrade_by_Queen,"['3642', '6411']"
2020-12-11,TOWERWithMACD,"['8464', '6449', '8044', '4576']"
2020-12-11,TOWERWithMACD_EMA23,"['6449', '4576']"
2020-12-11,TOWERWithMACD_EMA67,"['6449', '4576']"
2020-12-11,TOWERWithMACD_EMA67_23,"['6449', '4576']"
2020-12-11,VolumeWithMACD,"['6703', '5202', '6155', '3588', '2371', '4961', '2643', '3019', '4944', '6248', '6276', '6224', '2436', '8403', '2338', '6151', '3141', '6569', '6642', '3071', '4728', '4938', '6227', '3548', '8044', '6411', '3419', '5487', '8171', '6175']"
2020-12-11,VolumeWithMACD_EMA67_23,"['3588', '2643', '4944', '6248', '6224', '2436', '6642', '6411', '3419', '5487']"
2020-12-11,VolumeWithMACD_EMA67_23_VOL5,"['3588', '2643', '4944', '6248', '6224', '2436', '6642', '6411', '3419', '5487']"
2020-12-11,VolumeWithMACD_EMA67_23_VOL5_67,"['3588', '2643', '3419', '2436', '6248', '6642', '5487', '6411', '6224', '4944']"
2020-12-11,VolumeWithMACD_EMA67_23_VOL67,"['3588', '2643', '4944', '6248', '6224', '2436', '6642', '6411', '3419', '5487']"
