Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'1101,,,,,7550,
'1102,,,,,4431,
'1103,,,,,273,
'1104,,,,,279,
'1108,,,,,81,
'1109,,,,,140,
'1110,,,,,71,
'1201,,,,,296,
'1203,,,,,22,
'1210,,,,,1065,
'1213,,,,,24,
'1215,,,,,399,
'1216,,,,,6784,
'1217,,,,,1301,
'1218,,,,,334,
'1219,,,,,372,
'1220,,,,,229,
'1225,,,,,247,
'1227,,,,,722,
'1229,,,,,4283,
'1231,,,,,307,
'1232,,,,,57,
'1233,,,,,9,
'1234,,,,,183,
'1235,,,,,16,
'1236,,,,,199,
'1240,,,,,11,
'1256,,,,,18,
'1258,,,,,4,
'1259,,,,,11,
'1264,,,,,8,
'1268,,,,,9,
'1301,,,,,6371,
'1303,,,,,6638,
'1304,,,,,4148,
'1305,,,,,5244,
'1307,,,,,38,
'1308,,,,,4042,
'1309,,,,,712,
'1310,,,,,4296,
'1312,,,,,14566,
'1313,,,,,8410,
'1314,,,,,8292,
'1315,,,,,8,
'1316,,,,,9658,
'1319,,,,,187,
'1321,,,,,75,
'1323,,,,,24,
'1324,,,,,33,
'1325,,,,,1092,
'1326,,,,,2125,
'1336,,,,,27,
'1337,,,,,261,
'1338,,,,,257,
'1339,,,,,15,
'1340,,,,,59,
'1341,,,,,3,
'1342,,,,,122,
'1402,,,,,4714,
'1409,,,,,2426,
'1410,,,,,115,
'1413,,,,,31,
'1414,,,,,351,
'1416,,,,,50,
'1417,,,,,181,
'1418,,,,,41,
'1419,,,,,27,
'1423,,,,,38,
'1432,,,,,29,
'1434,,,,,1419,
'1435,,,,,99,
'1436,,,,,52,
'1437,,,,,203,
'1438,,,,,56,
'1439,,,,,16,
'1440,,,,,5107,
'1441,,,,,88,
'1442,,,,,262,
'1443,,,,,2,
'1444,,,,,2182,
'1445,,,,,355,
'1446,,,,,43,
'1447,,,,,2235,
'1449,,,,,41,
'1451,,,,,44,
'1452,,,,,171,
'1453,,,,,83,
'1454,,,,,176,
'1455,,,,,1793,
'1456,,,,,95,
'1457,,,,,473,
'1459,,,,,379,
'1460,,,,,743,
'1463,,,,,25,
'1464,,,,,658,
'1465,,,,,140,
'1466,,,,,106,
'1467,,,,,297,
'1468,,,,,59,
'1470,,,,,22,
'1471,,,,,363,
'1472,,,,,3,
'1473,,,,,68,
'1474,,,,,292,
'1475,,,,,96,
'1476,,,,,552,
'1477,,,,,1684,
'1503,,,,,88,
'1504,,,,,1700,
'1506,,,,,1742,
'1512,,,,,93,
'1513,,,,,1395,
'1514,,,,,307,
'1515,,,,,4003,
'1516,,,,,288,
'1517,,,,,671,
'1519,,,,,746,
'1521,,,,,20,
'1522,,,,,93,
'1524,,,,,117,
'1525,,,,,30,
'1526,,,,,581,
'1527,,,,,188,
'1528,,,,,178,
'1529,,,,,3503,
'1530,,,,,12,
'1531,,,,,139,
'1532,,,,,849,
'1533,,,,,1489,
'1535,,,,,16,
'1536,,,,,674,
'1537,,,,,93,
'1538,,,,,6,
'1539,,,,,207,
'1540,,,,,42,
'1541,,,,,2,
'1558,,,,,160,
'1560,,,,,2748,
'1565,,,,,130,
'1568,,,,,172,
'1569,,,,,93,
'1570,,,,,235,
'1580,,,,,31,
'1582,,,,,219,
'1583,,,,,3,
'1584,,,,,195,
'1586,,,,,153,
'1587,,,,,43,
'1589,,,,,194,
'1590,,,,,806,
'1591,,,,,42,
'1593,,,,,78,
'1595,,,,,37,
'1597,,,,,46,
'1598,,,,,781,
'1599,,,,,328,
'1603,,,,,180,
'1604,,,,,565,
'1605,,,,,8126,
'1608,,,,,1472,
'1609,,,,,2257,
'1611,,,,,3412,
'1612,,,,,946,
'1614,,,,,88,
'1615,,,,,59,
'1616,,,,,314,
'1617,,,,,93,
'1618,,,,,111,
'1626,,,,,27,
'1701,,,,,317,
'1702,,,,,301,
'1707,,,,,238,
'1708,,,,,1104,
'1709,,,,,2706,
'1710,,,,,71556,
'1711,,,,,9478,
'1712,,,,,2628,
'1713,,,,,28,
'1714,,,,,2486,
'1717,,,,,11286,
'1718,,,,,8487,
'1720,,,,,210,
'1721,,,,,6492,
'1722,,,,,1421,
'1723,,,,,212,
'1725,,,,,193,
'1726,,,,,25,
'1727,,,,,4557,
'1730,,,,,23,
'1731,,,,,772,
'1732,,,,,5833,
'1733,,,,,432,
'1734,,,,,536,
'1735,,,,,0,
'1736,,,,,769,
'1737,,,,,362,
'1742,,,,,166,
'1752,,,,,78,
'1760,,,,,6037,
'1762,,,,,275,
'1773,,,,,1187,
'1776,,,,,83,
'1777,,,,,44,
'1781,,,,,62,
'1783,,,,,144,
'1784,,,,,62,
'1785,,,,,5364,
'1786,,,,,61,
'1788,,,,,7,
'1789,,,,,188,
'1795,,,,,1079,
'1796,,,,,36,
'1799,,,,,19,
'1802,,,,,4753,
'1805,,,,,23,
'1806,,,,,407,
'1808,,,,,134,
'1809,,,,,172,
'1810,,,,,635,
'1813,,,,,14,
'1815,,,,,1008,
'1817,,,,,21,
'1903,,,,,64,
'1904,,,,,4316,
'1905,,,,,1917,
'1906,,,,,160,
'1907,,,,,3294,
'1909,,,,,2672,
'2002,,,,,65997,
'2006,,,,,5197,
'2007,,,,,1324,
'2008,,,,,61,
'2009,,,,,8445,
'2010,,,,,1793,
'2012,,,,,258,
'2013,,,,,1508,
'2014,,,,,15309,
'2015,,,,,443,
'2017,,,,,2095,
'2020,,,,,301,
'2022,,,,,1658,
'2023,,,,,8350,
'2024,,,,,38,
'2025,,,,,322,
'2027,,,,,33439,
'2028,,,,,1183,
'2029,,,,,663,
'2030,,,,,3000,
'2031,,,,,4059,
'2032,,,,,863,
'2033,,,,,127,
'2034,,,,,1564,
'2035,,,,,52,
'2038,,,,,1761,
'2049,,,,,2973,
'2059,,,,,202,
'2061,,,,,49,
'2062,,,,,487,
'2063,,,,,38,
'2064,,,,,79,
'2065,,,,,20,
'2066,,,,,7,
'2067,,,,,31,
'2069,,,,,1121,
'2070,,,,,25,
'2101,,,,,4520,
'2102,,,,,1699,
'2103,,,,,4052,
'2104,,,,,1527,
'2105,,,,,5246,
'2106,,,,,407,
'2107,,,,,271,
'2108,,,,,979,
'2109,,,,,47,
'2114,,,,,52,
'2115,,,,,70,
'2201,,,,,1626,
'2204,,,,,635,
'2206,,,,,416,
'2207,,,,,138,
'2208,,,,,907,
'2211,,,,,675,
'2221,,,,,107,
'2227,,,,,38,
'2228,,,,,30,
'2230,,,,,10,
'2231,,,,,176,
'2233,,,,,2452,
'2235,,,,,23,
'2236,,,,,0,
'2239,,,,,116,
'2241,,,,,85,
'2243,,,,,218,
'2247,,,,,37,
'2250,,,,,69,
'2301,,,,,7535,
'2302,,,,,266,
'2303,,,,,114341,
'2305,,,,,11260,
'2308,,,,,6223,
'2312,,,,,9045,
'2313,,,,,8845,
'2314,,,,,1819,
'2316,,,,,589,
'2317,,,,,20202,
'2321,,,,,35,
'2323,,,,,26129,
'2324,,,,,17847,
'2327,,,,,5461,
'2328,,,,,1513,
'2329,,,,,3991,
'2330,,,,,37388,
'2331,,,,,1453,
'2332,,,,,1105,
'2337,,,,,35257,
'2338,,,,,10574,
'2340,,,,,13966,
'2342,,,,,1547,
'2344,,,,,91719,
'2345,,,,,1778,
'2347,,,,,3414,
'2348,,,,,230,
'2349,,,,,2063,
'2351,,,,,1933,
'2352,,,,,6586,
'2353,,,,,10756,
'2354,,,,,9767,
'2355,,,,,2718,
'2356,,,,,4338,
'2357,,,,,1306,
'2358,,,,,12782,
'2359,,,,,10642,
'2360,,,,,1135,
'2362,,,,,175,
'2363,,,,,3376,
'2364,,,,,6,
'2365,,,,,506,
'2367,,,,,1322,
'2368,,,,,23718,
'2369,,,,,5698,
'2371,,,,,10009,
'2373,,,,,9,
'2374,,,,,8947,
'2375,,,,,748,
'2376,,,,,6962,
'2377,,,,,2848,
'2379,,,,,2629,
'2380,,,,,746,
'2382,,,,,7411,
'2383,,,,,3119,
'2385,,,,,3174,
'2387,,,,,587,
'2388,,,,,6378,
'2390,,,,,938,
'2392,,,,,548,
'2393,,,,,11119,
'2395,,,,,592,
'2397,,,,,38,
'2399,,,,,2729,
'2401,,,,,3131,
'2402,,,,,1835,
'2404,,,,,450,
'2405,,,,,2939,
'2406,,,,,5368,
'2408,,,,,8852,
'2409,,,,,90503,
'2412,,,,,6645,
'2413,,,,,319,
'2414,,,,,166,
'2415,,,,,454,
'2417,,,,,963,
'2419,,,,,497,
'2420,,,,,285,
'2421,,,,,3430,
'2423,,,,,62,
'2424,,,,,0,
'2425,,,,,810,
'2426,,,,,9892,
'2427,,,,,1299,
'2428,,,,,188,
'2429,,,,,43,
'2430,,,,,298,
'2431,,,,,129,
'2433,,,,,30,
'2434,,,,,7,
'2436,,,,,8707,
'2438,,,,,81,
'2439,,,,,379,
'2440,,,,,224,
'2441,,,,,2322,
'2442,,,,,3483,
'2443,,,,,47,
'2444,,,,,282,
'2449,,,,,7137,
'2450,,,,,85,
'2451,,,,,420,
'2453,,,,,292,
'2454,,,,,8726,
'2455,,,,,2504,
'2457,,,,,12015,
'2458,,,,,2658,
'2459,,,,,91,
'2460,,,,,246,
'2461,,,,,6888,
'2462,,,,,16539,
'2464,,,,,309,
'2465,,,,,2420,
'2466,,,,,76,
'2467,,,,,160,
'2468,,,,,13,
'2471,,,,,51,
'2472,,,,,1513,
'2474,,,,,1224,
'2476,,,,,2523,
'2477,,,,,681,
'2478,,,,,224,
'2480,,,,,553,
'2481,,,,,9905,
'2482,,,,,380,
'2483,,,,,87,
'2484,,,,,769,
'2485,,,,,597,
'2486,,,,,2525,
'2488,,,,,20,
'2489,,,,,1144,
'2491,,,,,67,
'2492,,,,,1884,
'2493,,,,,306,
'2495,,,,,711,
'2496,,,,,9,
'2497,,,,,38732,
'2498,,,,,27922,
'2501,,,,,428,
'2504,,,,,4588,
'2505,,,,,467,
'2506,,,,,142,
'2509,,,,,57,
'2511,,,,,603,
'2514,,,,,99,
'2515,,,,,3250,
'2516,,,,,262,
'2520,,,,,567,
'2524,,,,,33,
'2527,,,,,269,
'2528,,,,,64,
'2530,,,,,780,
'2534,,,,,326,
'2535,,,,,342,
'2536,,,,,65,
'2537,,,,,1196,
'2538,,,,,499,
'2539,,,,,137,
'2540,,,,,24,
'2542,,,,,4371,
'2543,,,,,32,
'2545,,,,,314,
'2546,,,,,164,
'2547,,,,,6172,
'2548,,,,,485,
'2596,,,,,36,
'2597,,,,,87,
'2601,,,,,4894,
'2603,,,,,111847,
'2605,,,,,5880,
'2606,,,,,12894,
'2607,,,,,14359,
'2608,,,,,1086,
'2609,,,,,42037,
'2610,,,,,219199,
'2611,,,,,823,
'2612,,,,,1111,
'2613,,,,,176,
'2614,,,,,7481,
'2615,,,,,36723,
'2616,,,,,285,
'2617,,,,,2042,
'2618,,,,,251728,
'2630,,,,,99,
'2633,,,,,2750,
'2634,,,,,1002,
'2636,,,,,1669,
'2637,,,,,18985,
'2640,,,,,15,
'2641,,,,,3147,
'2642,,,,,1237,
'2643,,,,,42,
'2701,,,,,267,
'2702,,,,,540,
'2704,,,,,153,
'2705,,,,,67,
'2706,,,,,143,
'2707,,,,,195,
'2712,,,,,1,
'2718,,,,,0,
'2719,,,,,4,
'2722,,,,,10,
'2723,,,,,353,
'2724,,,,,27,
'2726,,,,,127,
'2727,,,,,199,
'2729,,,,,15,
'2731,,,,,542,
'2732,,,,,76,
'2734,,,,,217,
'2736,,,,,38,
'2739,,,,,54,
'2740,,,,,74,
'2743,,,,,82,
'2745,,,,,12,
'2748,,,,,12,
'2752,,,,,23,
'2753,,,,,59,
'2754,,,,,21,
'2755,,,,,5,
'2756,,,,,30,
'2801,,,,,10286,
'2809,,,,,1906,
'2812,,,,,6128,
'2816,,,,,69,
'2820,,,,,877,
'2832,,,,,193,
'2834,,,,,28588,
'2836,,,,,1846,
'2838,,,,,1701,
'2841,,,,,12571,
'2845,,,,,3227,
'2849,,,,,55,
'2850,,,,,70,
'2851,,,,,233,
'2852,,,,,244,
'2855,,,,,832,
'2867,,,,,3438,
'2880,,,,,11493,
'2881,,,,,15114,
'2882,,,,,19192,
'2883,,,,,58819,
'2884,,,,,20317,
'2885,,,,,15691,
'2886,,,,,19050,
'2887,,,,,18712,
'2888,,,,,45337,
'2889,,,,,3439,
'2890,,,,,14795,
'2891,,,,,55787,
'2892,,,,,11769,
'2897,,,,,9213,
'2901,,,,,36,
'2903,,,,,542,
'2904,,,,,38,
'2905,,,,,271,
'2906,,,,,2438,
'2908,,,,,140,
'2910,,,,,7,
'2911,,,,,130,
'2912,,,,,2248,
'2913,,,,,1341,
'2915,,,,,2644,
'2916,,,,,18,
'2923,,,,,15,
'2924,,,,,15,
'2926,,,,,8,
'2929,,,,,168,
'2936,,,,,3,
'2937,,,,,12,
'2939,,,,,191,
'2945,,,,,16,
'2947,,,,,6,
'3002,,,,,132,
'3003,,,,,609,
'3004,,,,,52,
'3005,,,,,978,
'3006,,,,,3436,
'3008,,,,,234,
'3010,,,,,483,
'3011,,,,,787,
'3013,,,,,101,
'3014,,,,,1073,
'3015,,,,,90,
'3016,,,,,2391,
'3017,,,,,11832,
'3018,,,,,365,
'3019,,,,,1907,
'3021,,,,,81,
'3022,,,,,101,
'3023,,,,,439,
'3024,,,,,212,
'3025,,,,,311,
'3026,,,,,576,
'3027,,,,,791,
'3028,,,,,538,
'3029,,,,,542,
'3030,,,,,797,
'3031,,,,,425,
'3032,,,,,51,
'3033,,,,,4290,
'3034,,,,,6912,
'3035,,,,,44250,
'3036,,,,,2413,
'3037,,,,,30957,
'3038,,,,,324,
'3040,,,,,38,
'3041,,,,,10409,
'3042,,,,,3095,
'3043,,,,,523,
'3044,,,,,681,
'3045,,,,,3585,
'3046,,,,,503,
'3047,,,,,4418,
'3048,,,,,3746,
'3049,,,,,27075,
'3050,,,,,2128,
'3051,,,,,2632,
'3052,,,,,574,
'3054,,,,,36,
'3055,,,,,175,
'3056,,,,,476,
'3057,,,,,313,
'3058,,,,,214,
'3059,,,,,55126,
'3060,,,,,370,
'3062,,,,,2913,
'3064,,,,,5,
'3066,,,,,830,
'3067,,,,,0,
'3071,,,,,446,
'3073,,,,,0,
'3078,,,,,249,
'3081,,,,,150,
'3083,,,,,3021,
'3085,,,,,21,
'3086,,,,,3690,
'3088,,,,,8641,
'3089,,,,,17,
'3090,,,,,274,
'3092,,,,,446,
'3093,,,,,36,
'3094,,,,,1653,
'3095,,,,,88,
'3105,,,,,2795,
'3114,,,,,183,
'3115,,,,,4,
'3118,,,,,1,
'3122,,,,,1412,
'3128,,,,,188,
'3130,,,,,4,
'3131,,,,,63,
'3138,,,,,355,
'3141,,,,,17806,
'3147,,,,,30,
'3149,,,,,667,
'3152,,,,,574,
'3162,,,,,500,
'3163,,,,,107,
'3164,,,,,36,
'3167,,,,,520,
'3169,,,,,4417,
'3171,,,,,2,
'3176,,,,,238,
'3178,,,,,81,
'3188,,,,,101,
'3189,,,,,9061,
'3191,,,,,106,
'3202,,,,,8470,
'3205,,,,,29,
'3206,,,,,58,
'3207,,,,,530,
'3209,,,,,2830,
'3211,,,,,329,
'3213,,,,,56,
'3217,,,,,2908,
'3218,,,,,162,
'3219,,,,,498,
'3221,,,,,640,
'3224,,,,,269,
'3226,,,,,12,
'3227,,,,,481,
'3228,,,,,1021,
'3229,,,,,12,
'3230,,,,,325,
'3231,,,,,44778,
'3232,,,,,622,
'3234,,,,,89,
'3236,,,,,73,
'3252,,,,,6,
'3257,,,,,387,
'3259,,,,,74,
'3260,,,,,11880,
'3264,,,,,6270,
'3265,,,,,492,
'3266,,,,,23,
'3268,,,,,57,
'3272,,,,,35,
'3276,,,,,302,
'3284,,,,,101,
'3285,,,,,41,
'3287,,,,,65,
'3288,,,,,20,
'3289,,,,,167,
'3290,,,,,1805,
'3293,,,,,235,
'3294,,,,,8275,
'3296,,,,,128,
'3297,,,,,86,
'3303,,,,,1395,
'3305,,,,,3616,
'3306,,,,,337,
'3308,,,,,189,
'3310,,,,,67,
'3311,,,,,22,
'3312,,,,,788,
'3313,,,,,59,
'3317,,,,,741,
'3321,,,,,169,
'3322,,,,,5967,
'3323,,,,,253,
'3324,,,,,3371,
'3325,,,,,94,
'3332,,,,,0,
'3338,,,,,8345,
'3339,,,,,322,
'3346,,,,,424,
'3354,,,,,173,
'3356,,,,,162,
'3357,,,,,130,
'3360,,,,,143,
'3362,,,,,316,
'3363,,,,,258,
'3372,,,,,604,
'3373,,,,,287,
'3374,,,,,429,
'3376,,,,,876,
'3379,,,,,113,
'3380,,,,,1923,
'3383,,,,,259,
'3388,,,,,53,
'3390,,,,,262,
'3402,,,,,1163,
'3406,,,,,1674,
'3413,,,,,813,
'3416,,,,,60,
'3419,,,,,1665,
'3426,,,,,5,
'3432,,,,,55,
'3434,,,,,123,
'3437,,,,,4162,
'3438,,,,,199,
'3441,,,,,99,
'3443,,,,,2951,
'3444,,,,,112,
'3450,,,,,197,
'3454,,,,,40,
'3455,,,,,31236,
'3465,,,,,40,
'3466,,,,,230,
'3479,,,,,166,
'3481,,,,,84135,
'3483,,,,,2219,
'3484,,,,,1851,
'3489,,,,,38,
'3490,,,,,262,
'3491,,,,,6525,
'3492,,,,,3147,
'3494,,,,,24,
'3498,,,,,39,
'3499,,,,,6323,
'3501,,,,,44,
'3504,,,,,922,
'3508,,,,,23344,
'3511,,,,,221,
'3512,,,,,40,
'3515,,,,,869,
'3516,,,,,106,
'3518,,,,,123,
'3520,,,,,135,
'3521,,,,,48,
'3522,,,,,138,
'3523,,,,,13,
'3526,,,,,4364,
'3527,,,,,643,
'3528,,,,,21,
'3529,,,,,1139,
'3530,,,,,918,
'3531,,,,,7,
'3532,,,,,7992,
'3533,,,,,371,
'3535,,,,,2727,
'3536,,,,,65,
'3537,,,,,1829,
'3540,,,,,77,
'3541,,,,,253,
'3543,,,,,172,
'3545,,,,,4115,
'3546,,,,,455,
'3548,,,,,2949,
'3550,,,,,87,
'3551,,,,,492,
'3552,,,,,408,
'3555,,,,,20,
'3556,,,,,3214,
'3557,,,,,41,
'3558,,,,,996,
'3563,,,,,1711,
'3564,,,,,37,
'3567,,,,,63,
'3570,,,,,69,
'3576,,,,,2314,
'3577,,,,,416,
'3580,,,,,801,
'3581,,,,,137,
'3583,,,,,3639,
'3587,,,,,426,
'3588,,,,,3757,
'3591,,,,,545,
'3592,,,,,747,
'3593,,,,,116,
'3594,,,,,722,
'3596,,,,,9881,
'3597,,,,,27,
'3605,,,,,3286,
'3607,,,,,1505,
'3609,,,,,320,
'3611,,,,,49,
'3615,,,,,456,
'3617,,,,,23,
'3622,,,,,111,
'3623,,,,,105,
'3624,,,,,35960,
'3625,,,,,282,
'3628,,,,,268,
'3629,,,,,5,
'3630,,,,,158,
'3631,,,,,49,
'3632,,,,,14,
'3642,,,,,13,
'3645,,,,,2374,
'3646,,,,,122,
'3652,,,,,30,
'3653,,,,,550,
'3661,,,,,5328,
'3663,,,,,84,
'3664,,,,,72,
'3665,,,,,4157,
'3666,,,,,196,
'3669,,,,,319,
'3672,,,,,287,
'3673,,,,,709,
'3675,,,,,3305,
'3679,,,,,54,
'3680,,,,,487,
'3682,,,,,3509,
'3684,,,,,172,
'3685,,,,,80,
'3686,,,,,209,
'3687,,,,,9498,
'3689,,,,,6347,
'3691,,,,,201,
'3693,,,,,398,
'3694,,,,,163,
'3701,,,,,17854,
